time,temp_lid,temp_well,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
16:40:56,97.6,63.46,56,65,96,99,71,75,86,71,49,86,66,64,104,62,83,78
16:41:26,98.3,63.46,56,65,98,99,70,75,86,70,48,86,65,60,104,61,83,77
16:41:57,98.3,63.56,55,64,98,99,70,69,85,69,49,86,65,61,104,61,83,77
16:42:25,98.5,63.46,55,64,99,99,70,69,85,70,49,87,65,60,103,67,82,78
16:42:56,98.5,63.46,55,64,96,98,71,69,85,68,48,86,64,60,104,61,83,78
16:43:26,98.4,63.46,54,63,94,98,67,68,84,67,47,84,64,58,103,59,82,77
16:43:57,98.6,63.56,54,64,96,99,68,69,85,70,48,86,64,59,105,60,82,78
16:44:25,98.6,63.56,55,64,95,99,68,70,86,69,48,87,65,60,104,60,83,78
16:44:56,98.6,63.56,54,64,95,99,70,69,85,69,49,87,65,59,104,59,83,79
16:45:26,98.5,63.46,55,64,95,99,68,69,86,69,49,87,66,60,104,60,83,79
16:45:57,98.3,63.46,54,64,96,99,68,68,86,69,49,88,64,61,104,60,83,79
16:46:25,98.6,63.56,54,64,96,99,68,68,87,69,49,87,64,61,104,60,83,79
16:46:56,98.6,63.46,55,63,96,99,68,69,86,68,49,87,65,62,104,60,83,79
16:47:26,98.4,63.56,56,64,96,99,67,68,86,68,50,87,65,62,104,59,83,80
16:47:56,98.6,63.66,56,65,99,103,71,72,89,70,51,90,67,63,108,63,86,82
16:48:25,98.4,63.56,53,64,96,100,67,68,86,68,50,88,64,59,104,59,84,80
16:48:55,98.8,63.66,54,64,96,99,68,68,86,68,48,88,64,58,104,60,83,80
16:49:26,98.8,63.56,55,65,99,102,71,70,88,69,51,90,66,61,107,62,85,81
16:49:56,98.8,63.56,54,63,96,100,69,68,86,67,49,88,64,59,105,60,84,80
16:50:27,98.5,63.56,53,63,96,99,67,68,86,68,49,89,63,59,104,60,84,80
16:50:55,98.5,63.56,53,64,96,100,67,68,86,68,50,89,64,59,104,59,83,80
16:51:26,98.5,63.56,57,63,96,100,68,68,86,68,49,88,64,59,105,60,84,80
16:51:56,98.4,63.56,54,63,96,99,67,67,86,67,49,89,64,59,104,59,82,80
16:52:27,98.6,63.46,53,63,96,100,68,68,86,68,49,88,64,58,105,60,83,81
16:52:55,98.4,63.46,54,65,99,103,71,70,90,69,51,91,66,61,109,62,86,83
16:53:26,98.5,63.66,56,63,96,100,67,67,87,68,50,89,64,59,105,60,84,81
16:53:56,98.4,63.56,54,63,97,99,67,68,87,69,50,89,64,58,105,60,83,81
16:54:27,98.6,63.46,54,63,98,100,68,68,87,68,50,89,64,59,105,60,83,80
16:54:55,98.8,63.46,54,63,98,100,67,68,87,67,50,89,63,58,105,59,83,81
16:55:25,98.7,63.66,55,63,97,99,67,67,87,67,49,89,64,59,106,60,84,81
16:55:56,98.8,63.56,54,62,96,100,67,68,87,68,50,89,64,59,105,59,83,81
16:56:26,98.5,63.46,54,63,97,100,67,67,86,68,51,89,64,58,105,59,83,82
16:56:57,98.7,63.66,53,62,97,100,67,67,87,68,50,89,64,59,105,59,84,81
16:57:25,98.5,63.56,54,63,97,100,68,68,87,68,51,89,64,59,106,60,83,81
16:57:56,98.7,63.56,54,63,98,101,69,69,88,68,52,90,65,60,107,60,85,82
16:58:26,98.5,63.56,54,62,97,99,67,67,87,68,51,89,64,59,105,60,84,82
16:58:57,98.5,63.56,54,63,96,100,66,67,87,67,50,89,64,59,105,59,84,82
16:59:25,98.6,63.46,54,63,97,99,67,67,87,67,50,89,63,59,105,59,84,81
16:59:56,98.5,63.56,54,62,97,100,66,67,88,68,51,90,64,58,105,58,84,82
17:00:26,98.5,63.56,56,65,100,103,70,70,90,70,54,93,67,62,110,62,87,84
17:00:57,98.7,63.56,54,63,97,99,66,67,87,68,51,90,64,59,105,59,84,82
17:01:25,98.7,63.56,54,63,97,99,67,68,88,69,51,90,64,59,105,59,84,82
17:01:56,98.7,63.56,54,63,98,100,67,69,87,71,50,90,65,59,106,60,84,82
17:02:26,98.6,63.56,54,63,98,100,67,71,87,72,50,91,65,59,105,59,83,82
17:02:56,98.5,63.56,54,63,98,100,68,73,87,76,51,91,66,59,107,61,85,82
17:03:27,98.5,63.56,54,64,98,100,69,77,87,81,51,91,67,59,106,60,84,83
17:03:55,98.6,63.66,54,64,98,100,70,82,87,88,53,90,68,60,107,60,85,83
17:04:26,98.5,63.66,54,66,99,101,73,92,88,97,53,91,71,60,108,61,85,83
17:04:56,98.5,63.66,54,68,99,103,77,103,88,110,53,91,75,61,111,64,86,83
17:05:27,98.5,63.66,54,72,101,104,83,116,90,125,55,93,81,62,114,65,88,84
17:05:55,98.5,63.56,54,75,101,105,90,126,90,136,55,92,87,64,117,68,89,84
17:06:26,98.7,63.56,54,82,104,107,98,136,91,148,58,93,97,67,122,71,92,85
17:06:56,98.6,63.56,54,88,107,111,108,146,93,158,61,95,109,71,130,78,96,86
17:07:27,98.6,63.56,55,99,114,119,121,158,98,170,68,99,123,79,139,88,104,91
17:07:55,98.6,63.56,56,107,120,126,132,166,102,177,74,103,135,87,148,98,110,95
17:08:26,98.7,63.66,55,115,126,131,140,171,107,182,81,105,144,97,155,108,116,99
17:08:56,98.7,63.56,55,123,133,137,148,174,113,186,90,111,151,108,162,119,124,105
17:09:27,98.7,63.66,56,132,140,145,156,180,122,192,99,118,159,119,170,130,132,112
17:09:55,98.6,63.66,56,137,147,151,161,184,128,194,110,124,166,128,175,138,138,118
17:10:25,98.7,63.66,56,142,152,156,166,186,135,196,118,130,169,137,180,145,145,124
17:10:56,98.8,63.56,56,148,157,161,170,188,141,198,127,137,174,145,183,151,150,131
17:11:26,98.4,63.56,56,153,163,165,174,191,148,201,135,144,179,152,188,158,155,138
17:11:57,98.6,63.56,56,156,167,169,178,194,152,203,142,150,181,158,191,162,159,144
17:12:25,98.6,63.56,56,158,169,171,179,195,156,204,148,153,183,161,192,165,162,148
17:12:56,98.6,63.56,56,159,170,172,179,191,158,199,151,156,183,166,193,168,162,150
17:13:26,98.8,63.56,56,164,176,177,183,199,165,207,157,162,188,169,198,172,169,157
17:13:57,98.5,63.56,56,166,179,178,184,199,167,208,161,164,189,172,198,173,169,159
17:14:25,98.6,63.56,56,168,181,181,187,202,171,210,164,168,192,175,201,176,172,162
